,NUTS3_ID,NUTS1_NAME,NUTS2_NAME,NUTS3_NAME,POSTAL_CODE,CLASSIFICATION
106,DEA5A,Nordrhein-Westfalen,Arnsberg,Siegen-Wittgenstein,57299,PU
107,DEA5A,Nordrhein-Westfalen,Arnsberg,Siegen-Wittgenstein,57223,PU
108,DEA5A,Nordrhein-Westfalen,Arnsberg,Siegen-Wittgenstein,57080,PU
109,DEA5B,Nordrhein-Westfalen,Arnsberg,Soest,59555,IN
110,DEA5B,Nordrhein-Westfalen,Arnsberg,Soest,59556,IN
111,DEA5B,Nordrhein-Westfalen,Arnsberg,Soest,59557,IN
112,DEA5B,Nordrhein-Westfalen,Arnsberg,Soest,59558,IN
113,DEA5B,Nordrhein-Westfalen,Arnsberg,Soest,59514,IN
114,DEA5C,Nordrhein-Westfalen,Arnsberg,Unna,59368,PU
132,DEE09,Sachsen-Anhalt,Sachsen-Anhalt,Harz,06458,IN
133,DEE0A,Sachsen-Anhalt,Sachsen-Anhalt,Mansfeld-Südharz,06317,PR
134,DEE0A,Sachsen-Anhalt,Sachsen-Anhalt,Mansfeld-Südharz,06318,PR
135,DEE0A,Sachsen-Anhalt,Sachsen-Anhalt,Mansfeld-Südharz,06536,PR
136,DEE0A,Sachsen-Anhalt,Sachsen-Anhalt,Mansfeld-Südharz,06547,PR
137,DEE0B,Sachsen-Anhalt,Sachsen-Anhalt,Saalekreis,06231,IN
138,DEE0B,Sachsen-Anhalt,Sachsen-Anhalt,Saalekreis,06268,IN
139,DEE0B,Sachsen-Anhalt,Sachsen-Anhalt,Saalekreis,06217,IN
140,DEE0B,Sachsen-Anhalt,Sachsen-Anhalt,Saalekreis,06249,IN
141,DEE0B,Sachsen-Anhalt,Sachsen-Anhalt,Saalekreis,06193,IN
142,DEF06,Schleswig-Holstein,Schleswig-Holstein,Herzogtum Lauenburg,23881,IN
143,DEF06,Schleswig-Holstein,Schleswig-Holstein,Herzogtum Lauenburg,21524,IN
144,DEF06,Schleswig-Holstein,Schleswig-Holstein,Herzogtum Lauenburg,21527,IN
145,DEF08,Schleswig-Holstein,Schleswig-Holstein,Ostholstein,23714,IN
146,DEF08,Schleswig-Holstein,Schleswig-Holstein,Ostholstein,23717,IN
147,DEF08,Schleswig-Holstein,Schleswig-Holstein,Ostholstein,23779,IN
148,DEF08,Schleswig-Holstein,Schleswig-Holstein,Ostholstein,23683,IN
149,DEF08,Schleswig-Holstein,Schleswig-Holstein,Ostholstein,23684,IN
150,DEF09,Schleswig-Holstein,Schleswig-Holstein,Pinneberg,22880,PU
151,DEF0A,Schleswig-Holstein,Schleswig-Holstein,Plön,24245,IN
152,DEF0A,Schleswig-Holstein,Schleswig-Holstein,Plön,24256,IN
153,DEF0B,Schleswig-Holstein,Schleswig-Holstein,Rendsburg-Eckernförde,24119,IN
154,DEF0D,Schleswig-Holstein,Schleswig-Holstein,Segeberg,23795,IN
155,DEF0D,Schleswig-Holstein,Schleswig-Holstein,Segeberg,23719,IN
156,DEF0D,Schleswig-Holstein,Schleswig-Holstein,Segeberg,23813,IN
157,DEF0D,Schleswig-Holstein,Schleswig-Holstein,Segeberg,23820,IN
158,DEF0F,Schleswig-Holstein,Schleswig-Holstein,Stormarn,22926,IN
159,DEE0A,Sachsen-Anhalt,Sachsen-Anhalt,Mansfeld-Südharz,06537,PR
160,DEF06,Schleswig-Holstein,Schleswig-Holstein,Herzogtum Lauenburg,23919,IN
161,DEF06,Schleswig-Holstein,Schleswig-Holstein,Herzogtum Lauenburg,23628,IN
162,DEF06,Schleswig-Holstein,Schleswig-Holstein,Herzogtum Lauenburg,23896,IN
163,DEF06,Schleswig-Holstein,Schleswig-Holstein,Herzogtum Lauenburg,23909,IN
