,NUTS3_ID,NUTS1_NAME,NUTS2_NAME,NUTS3_NAME,POSTAL_CODE,CLASSIFICATION
645,DE932,Niedersachsen,Lüneburg,Cuxhaven,27472,IN
646,DE932,Niedersachsen,Lüneburg,Cuxhaven,27474,IN
647,DE932,Niedersachsen,Lüneburg,Cuxhaven,27476,IN
648,DE932,Niedersachsen,Lüneburg,Cuxhaven,27478,IN
649,DE932,Niedersachsen,Lüneburg,Cuxhaven,27628,IN
650,DE934,Niedersachsen,Lüneburg,Lüchow-Dannenberg,29475,PR
651,DE934,Niedersachsen,Lüneburg,Lüchow-Dannenberg,29476,PR
652,DE934,Niedersachsen,Lüneburg,Lüchow-Dannenberg,29491,PR
653,DE934,Niedersachsen,Lüneburg,Lüchow-Dannenberg,29499,PR
654,DE937,Niedersachsen,Lüneburg,Rotenburg (Wümme),27446,PR
655,DE937,Niedersachsen,Lüneburg,Rotenburg (Wümme),27442,PR
656,DE937,Niedersachsen,Lüneburg,Rotenburg (Wümme),27389,PR
657,DE938,Niedersachsen,Lüneburg,Soltau-Fallingbostel,27336,PR
658,DE93A,Niedersachsen,Lüneburg,Uelzen,29579,PR
659,DE93A,Niedersachsen,Lüneburg,Uelzen,29585,PR
660,DE93A,Niedersachsen,Lüneburg,Uelzen,29565,PR
661,DE946,Niedersachsen,Weser-Ems,Ammerland,26215,IN
662,DE947,Niedersachsen,Weser-Ems,Aurich,26529,IN
663,DE947,Niedersachsen,Weser-Ems,Aurich,26506,IN
664,DE947,Niedersachsen,Weser-Ems,Aurich,26553,IN
665,DE949,Niedersachsen,Weser-Ems,Emsland,26892,PR
666,DE949,Niedersachsen,Weser-Ems,Emsland,26909,PR
667,DE949,Niedersachsen,Weser-Ems,Emsland,26899,PR
668,DE94A,Niedersachsen,Weser-Ems,Friesland (D),26419,IN
669,DE94D,Niedersachsen,Weser-Ems,"Oldenburg, Landkreis",26197,IN
670,DE94G,Niedersachsen,Weser-Ems,Wesermarsch,26931,PR
671,DE94G,Niedersachsen,Weser-Ems,Wesermarsch,27809,PR
672,DEB14,Rheinland-Pfalz,Koblenz,Bad Kreuznach,55546,IN
673,DEB15,Rheinland-Pfalz,Koblenz,Birkenfeld,55743,PR
675,DEB17,Rheinland-Pfalz,Koblenz,Mayen-Koblenz,56218,IN
676,DEB18,Rheinland-Pfalz,Koblenz,Neuwied,53567,IN
677,DEB18,Rheinland-Pfalz,Koblenz,Neuwied,56564,IN
678,DEB18,Rheinland-Pfalz,Koblenz,Neuwied,56566,IN
679,DEB18,Rheinland-Pfalz,Koblenz,Neuwied,56567,IN
680,DEB18,Rheinland-Pfalz,Koblenz,Neuwied,56589,IN
681,DEB18,Rheinland-Pfalz,Koblenz,Neuwied,56587,IN
682,DEB18,Rheinland-Pfalz,Koblenz,Neuwied,56579,IN
687,DE94E,Niedersachsen,Weser-Ems,"Osnabrück, Landkreis",49124,IN
