,age,income,RLK2022,no_cars,CO2_cruise,CO2_flight,CO2_public_transport,CO2_car_total,CO2_mobility,belief_diff_mobility,cluster_id
223,41,2500.0,peripher,1.0,0.0,0.0,0.0,3320.772,3320.772,5.0,3
224,19,1000.0,zentral,1.0,0.0,0.0,107.8,3581.82,3689.62,-10.0,1
225,23,1900.0,zentral,0.0,0.0,133.0,107.8,0.0,240.8,-13.0,2
226,47,4800.0,sehr zentral,2.0,0.0,1729.0,0.0,3940.002,5669.002,-37.0,3
227,54,4500.0,sehr zentral,2.0,0.0,0.0,107.8,4298.184,4405.984,-34.0,1
228,27,1800.0,sehr zentral,1.0,0.0,2660.0,107.8,5.18562,2772.98562,9.0,2
229,54,4000.0,peripher,1.0,0.0,0.0,0.0,895.455,895.455,4.0,3
230,27,800.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,16.0,2
231,47,2000.0,zentral,1.0,0.0,0.0,0.0,1296.405,1296.405,36.0,3
232,27,1800.0,peripher,1.0,0.0,0.0,107.8,221.3848,329.1848,2.0,2
233,24,1400.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,28.0,2
234,57,1600.0,sehr zentral,0.0,3794.0,9345.2,107.8,0.0,13247.0,-11.0,0
235,30,7000.0,sehr zentral,2.0,271.0,5772.2,107.8,648.2025,6799.2025,-6.0,0
236,32,2700.0,sehr zentral,1.0,0.0,0.0,107.8,13836.55,13944.35,-75.0,1
237,23,3000.0,peripher,2.0,0.0,665.0,0.0,2865.456,3530.456,19.0,3
238,30,2500.0,sehr zentral,2.0,0.0,399.0,0.0,15556.86,15955.86,-73.0,3
239,38,2500.0,sehr zentral,1.0,0.0,0.0,107.8,2149.092,2256.892,-28.0,1
240,21,5000.0,peripher,3.0,0.0,0.0,107.8,59360.32,59468.12,-28.0,1
241,56,3000.0,peripher,2.0,0.0,0.0,107.8,5892.802,6000.602,0.0,1
242,65,1250.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,-7.0,2
243,47,4000.0,sehr zentral,2.0,0.0,1330.0,107.8,895.455,2333.255,29.0,1
244,44,4000.0,sehr zentral,2.0,0.0,0.0,0.0,8251.395,8251.395,-15.0,3
245,22,600.0,peripher,0.0,0.0,399.0,107.8,0.0,506.8,-6.0,2
246,69,1200.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,68.0,2
247,21,2200.0,peripher,3.0,0.0,0.0,0.0,5372.73,5372.73,-20.0,3
248,43,3300.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,74.0,2
249,28,1000.0,peripher,2.0,0.0,0.0,0.0,1113.364182,1113.364182,16.0,3
250,36,4000.0,peripher,2.0,0.0,0.0,0.0,3889.215,3889.215,17.0,3
251,35,600.0,peripher,0.0,0.0,0.0,107.8,0.0,107.8,4.0,2
252,27,2500.0,sehr zentral,1.0,0.0,1908.0,107.8,2703.21,4719.01,-7.0,1
253,22,4000.0,zentral,1.0,0.0,0.0,107.8,5534.62,5642.42,-25.0,1
254,39,4000.0,sehr zentral,2.0,0.0,1995.0,0.0,8283.445,10278.445,2.0,3
255,38,5000.0,sehr zentral,0.0,0.0,3394.0,107.8,0.0,3501.8,-37.0,2
256,45,2500.0,sehr zentral,0.0,0.0,9824.0,107.8,0.0,9931.8,-56.0,2
257,33,5000.0,peripher,2.0,0.0,4238.0,107.8,2074.248,6420.048,-31.0,1
258,29,2100.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,-2.0,2
259,28,3000.0,sehr zentral,1.0,0.0,6077.0,107.8,129.6405,6314.4405,-28.0,1
